one-digit ZIP,Year,HPI with 2000 base,HPI,Annual Change (%),Percent change since 2000,HPI year by year percent change since 2000,Percent change since 2010,zip
mid atlantic,2002,111.5721978021978,305.84376344086024,5.073913043478261,11.572197802197806,5.166190022901684,-22.661307154293922,2
mid atlantic,2003,116.24373626373627,319.8721505376344,4.015806451612903,16.243736263736267,4.187009446403889,-19.423128779118915,2
mid atlantic,2004,127.12637362637362,352.6859139784946,8.905913978494624,27.126373626373624,9.361912918857485,-11.879592262680086,2
mid atlantic,2005,144.52923076923076,405.1645161290323,12.480430107526882,44.529230769230765,13.689415222371103,0.18357624812806345,2
mid atlantic,2006,157.94,444.2733333333333,8.796989247311828,57.940000000000005,9.278932129779438,9.479542293377708,2
mid atlantic,2007,162.0223076923077,454.23430107526883,2.9510752688172044,62.022307692307685,2.5847205852271182,12.309282559647059,2
mid atlantic,2008,158.26846153846154,441.22591397849465,-1.5166666666666668,58.26846153846154,-2.3168699466835085,9.707222544686736,2
mid atlantic,2009,150.59131868131868,418.2133333333333,-4.239032258064516,50.59131868131869,-4.850709220596805,4.385644185050965,2
mid atlantic,2010,144.2643956043956,400.4393548387097,-4.0364516129032255,44.26439560439559,-4.201386329787127,0.0,2
mid atlantic,2011,140.05395604395605,388.12827956989247,-2.847956989247312,40.05395604395605,-2.918557654367804,-2.9185576543678056,2
mid atlantic,2012,138.13615384615383,382.83806451612907,-1.4610752688172042,38.13615384615383,-1.369330972129279,-4.247923912596377,2
mid atlantic,2013,139.819010989011,388.43666666666667,1.1331182795698924,39.81901098901099,1.2182597357759173,-3.0814149234540245,2
mid atlantic,2014,143.1376923076923,399.46989247311825,2.164838709677419,43.137692307692305,2.3735551376072417,-0.7809988680734151,2
mid atlantic,2015,146.4535164835165,409.8503225806452,2.4104301075268815,46.453516483516495,2.3165276192216533,1.5174366966635018,2
mid atlantic,2016,150.67604395604397,422.17999999999995,2.6533333333333333,50.67604395604397,2.8831861288921123,4.444373349908537,2
mid atlantic,2017,155.44021978021976,436.747311827957,3.0621505376344085,55.44021978021977,3.161866809806635,7.74676532556981,2
mid atlantic,2018,161.31692307692308,454.35870967741937,3.789784946236559,61.31692307692308,3.780683857120448,11.820329888803078,2
mid atlantic,2019,167.2814285714286,471.9527956989247,3.664516129032258,67.28142857142859,3.6973836227097934,15.954756452971752,2
mid atlantic,2020,173.11175824175825,488.23838709677415,3.3460215053763442,73.11175824175825,3.485341869758196,19.99617612960333,2
southeast,2000,100.0,249.91555555555558,4.729444444444444,0.0,-42.233848806303754,-21.887340715268948,3
southeast,2001,105.87566666666666,263.37142857142857,5.875666666666666,5.87566666666666,5.875666666666657,-17.297701231229105,3
southeast,2002,110.32588888888888,275.21043956043957,4.1548351648351645,10.325888888888883,4.203253081969316,-13.821514309371272,3
southeast,2003,114.74966666666666,286.6473626373626,3.829340659340659,14.749666666666656,4.009736810036513,-10.365983846302074,3
southeast,2004,123.19633333333333,308.90758241758243,6.89032967032967,23.196333333333328,7.360950939581534,-3.7680678920517865,3
southeast,2005,138.83722222222224,350.0306593406593,11.51956043956044,38.83722222222224,12.695904549828786,8.449446354829364,3
southeast,2006,153.346,388.02109890109887,9.503076923076923,53.346000000000004,10.450207477181506,19.782638506763682,3
southeast,2007,155.70777777777778,393.3501098901099,2.4136263736263737,55.70777777777778,1.540162624246988,21.627485935381728,3
southeast,2008,147.21266666666665,369.3423076923077,-3.868131868131868,47.21266666666665,-5.455803963264527,14.991728737300164,3
southeast,2009,136.19022222222222,339.0804395604396,-6.529120879120879,36.19022222222222,-7.487429372774379,6.3818042635625165,3
southeast,2010,128.02022222222223,317.63274725274727,-5.755164835164836,28.02022222222223,-5.998962235826999,0.0,3
southeast,2011,122.08822222222223,302.08252747252743,-4.629340659340659,22.088222222222228,-4.633642948770245,-4.633642948770248,3
southeast,2012,119.91866666666667,296.6062637362637,-1.7932967032967033,19.918666666666667,-1.7770391902394822,-6.328340487874318,3
southeast,2013,122.82811111111111,304.98406593406594,2.374065934065934,22.828111111111113,2.4261814489079603,-4.055696061906891,3
southeast,2014,128.59755555555557,321.2442857142857,4.619010989010989,28.59755555555557,4.697169395713807,0.45097041960385453,3
southeast,2015,134.53633333333335,337.47516483516483,4.377692307692308,34.536333333333346,4.618110936962672,5.089907670836729,3
southeast,2016,141.48644444444446,356.31054945054944,4.872527472527472,41.48644444444446,5.165973338883267,10.518824282969188,3
southeast,2017,149.15044444444445,376.85351648351644,5.104175824175824,49.150444444444446,5.416773338317449,16.505378490550964,3
southeast,2018,157.89755555555556,400.25384615384615,5.520769230769231,57.897555555555556,5.8646228938119105,23.337979590030038,3
southeast,2019,165.79266666666666,420.9841758241758,4.925934065934066,65.79266666666666,5.000147775139707,29.505060832403203,3
southeast,2020,173.06688888888888,439.7014285714286,4.185604395604395,73.06688888888888,4.387541601491551,35.187149252461836,3
midwest,2000,100.0,275.9977419354839,4.994623655913978,0.0,-42.21887234351266,-9.639344389720653,4
midwest,2001,104.48236559139785,282.6115625,4.4823655913978495,4.482365591397851,4.482365591397852,-5.589049454483979,4
midwest,2002,107.15,289.8695833333333,2.5425,7.150000000000007,2.5531910514301925,-3.178557513585674,4
midwest,2003,109.30817204301076,295.49510416666664,2.0247916666666668,9.308172043010757,2.0141596295013997,-1.2284191063233998,4
midwest,2004,113.2263440860215,305.6844791666667,3.5452083333333335,13.226344086021498,3.5845188605560185,2.312066839679783,4
midwest,2005,117.86763440860216,317.75385416666666,4.114375,17.867634408602157,4.099125835110007,6.505967203940116,4
midwest,2006,119.74215053763442,322.028125,1.7810416666666666,19.742150537634416,1.5903569613809454,8.199792267654095,4
midwest,2007,119.6836559139785,320.1634375,-0.08927083333333337,19.683655913978498,-0.04885048697829131,8.146936142221842,4
midwest,2008,117.73129032258065,312.894375,-1.7259375,17.731290322580648,-1.6312716857522225,6.382765793925237,4
midwest,2009,114.02279569892474,301.52833333333336,-3.2192708333333333,14.022795698924739,-3.1499651566671227,3.0317457387177957,4
midwest,2010,110.66763440860215,291.1740625,-3.12375,10.667634408602154,-2.9425355427890376,0.0,4
midwest,2011,108.38989247311828,284.07187500000003,-2.2027083333333333,8.38989247311828,-2.0581825460134984,-2.0581825460134944,4
midwest,2012,107.80892473118278,282.12656250000003,-0.5630208333333334,7.808924731182784,-0.5359980794146235,-2.5831488065106445,4
midwest,2013,108.82397849462365,285.73562499999997,1.1701041666666667,8.823978494623645,0.9415303658503849,-1.6659395710686684,4
midwest,2014,111.49860215053765,294.578125,2.942083333333333,11.49860215053765,2.4577521359836485,0.7508678995228479,4
midwest,2015,114.9689247311828,304.2055208333333,2.955208333333333,14.968924731182796,3.112435953196746,3.8866741351853666,4
midwest,2016,118.60053763440861,315.1333333333333,3.1595833333333334,18.60053763440861,3.1587778277627265,7.168223363767713,4
midwest,2017,123.89075268817204,330.27,4.5078125,23.890752688172043,4.460532101524484,11.948496369542044,4
midwest,2018,130.4840860215054,348.5825,5.167083333333333,30.48408602150539,5.321893030974234,17.90627559611314,4
midwest,2019,136.26817204301076,365.1134375,4.4340625000000005,36.268172043010765,4.432790386830843,23.13281364620792,4
midwest,2020,141.56623655913978,379.3042708333333,3.8723958333333335,41.56623655913978,3.8879691689536866,27.920179477637674,4
northern plains,2000,100.0,251.6344186046512,5.39593023255814,0.0,-29.36168790626523,-26.699589347234276,5
northern plains,2001,105.15988372093024,265.14581395348836,5.159883720930233,5.159883720930239,5.159883720930236,-22.917373390587205,5
northern plains,2002,109.33651162790699,276.49697674418604,3.950232558139535,9.336511627906987,3.9716931582584714,-19.855887983335233,5
northern plains,2003,112.64337209302326,285.6189534883721,2.99453488372093,12.643372093023258,3.0244795776640077,-17.431945682691047,5
northern plains,2004,119.84186046511627,304.84860465116276,6.3115116279069765,19.84186046511627,6.3905121431808265,-12.15542414515528,5
northern plains,2005,129.10883720930232,328.6625581395349,7.64639534883721,29.108837209302322,7.732670961732513,-5.362692136570605,5
northern plains,2006,135.92546511627907,344.8659302325581,5.208372093023256,35.92546511627907,5.279753155801492,-0.36607588808561914,5
northern plains,2007,139.7353488372093,353.3552325581395,2.715232558139535,39.7353488372093,2.8029212316257546,2.4265845247491105,5
northern plains,2008,140.85779069767443,353.8297674418605,0.7959302325581395,40.85779069767443,0.8032626459985925,3.2493390178085946,5
northern plains,2009,138.94546511627905,346.89546511627907,-1.3666279069767442,38.94546511627905,-1.3576285499889984,1.8475965136278922,5
northern plains,2010,136.42488372093024,338.29046511627905,-1.8911627906976742,36.42488372093024,-1.814079641418609,0.0,5
northern plains,2011,135.55209302325582,333.33813953488374,-0.9504651162790697,35.55209302325582,-0.6397591655344925,-0.6397591655344873,5
northern plains,2012,138.1256976744186,336.4479069767442,1.2936046511627908,38.1256976744186,1.898609304926957,1.2467036123465105,5
northern plains,2013,142.57023255813954,345.4953488372093,2.802325581395349,42.57023255813954,3.2177465587883036,4.504565933719379,5
northern plains,2014,147.8981395348837,357.81662790697675,3.420348837209302,47.89813953488371,3.7370402510716882,8.409943626870213,5
northern plains,2015,152.30523255813952,368.7720930232558,2.96953488372093,52.30523255813952,2.979816404124769,11.64036091076611,5
northern plains,2016,156.54151162790697,380.8590697674419,3.162558139534884,56.54151162790697,2.781440268738189,14.745570865302815,5
northern plains,2017,162.40813953488373,396.76453488372096,4.014883720930232,62.40813953488373,3.7476499657940643,19.045833212586533,5
northern plains,2018,168.8168604651163,414.0537209302326,4.134883720930233,68.81686046511629,3.946058952824849,23.74345197203675,5
northern plains,2019,175.331511627907,430.4846511627907,3.842441860465116,75.33151162790699,3.859005045373931,28.518718026957508,5
northern plains,2020,179.61941860465117,441.5172093023256,2.4213953488372093,79.61941860465117,2.445599731007908,31.661771449319588,5
plains,2000,100.0,243.88267441860464,4.545232558139535,0.0,-44.326732166913644,-19.504672940934217,6
plains,2001,104.5903488372093,255.81302325581393,4.590348837209302,4.590348837209305,4.5903488372093015,-15.809656631270567,6
plains,2002,108.01906976744185,265.2822093023256,3.2603488372093024,8.019069767441849,3.2782383540657323,-13.049696504537236,6
plains,2003,110.53313953488373,272.1508139534884,2.298720930232558,10.53313953488373,2.3274314182250455,-11.025987822741799,6
plains,2004,115.8156976744186,286.53360465116276,4.707209302325581,15.815697674418603,4.7791623053172305,-6.773775371237904,6
plains,2005,122.48104651162792,304.5136046511628,5.63906976744186,22.481046511627923,5.755134209826185,-1.4084810250986228,6
plains,2006,127.62244186046513,318.2239534883721,4.095348837209302,27.62244186046513,4.1977069067164585,2.730101976347483,6
plains,2007,130.71348837209302,325.0179069767442,2.4726744186046514,30.713488372093025,2.4220242667096548,5.218249975430201,6
plains,2008,130.02941860465117,321.5741860465116,-0.3748837209302326,30.02941860465117,-0.5233352548090209,4.667605778815688,6
plains,2009,126.89883720930231,311.2459302325582,-2.1977906976744186,26.89883720930231,-2.407594703524174,2.1476340457793626,6
plains,2010,124.23081395348838,302.67151162790697,-2.047674418604651,24.23081395348838,-2.1024804596226465,0.0,6
