one-digit ZIP,Year,HPI with 2000 base,Percent change since 2000,HPI year by year percent change since 2000,Percent change since 2010,employment_by_thosands,employment year by year percent change,employment percent change since 2000,employment percent change since 2010
midwest,2001,104.48236559139784,4.482365591397851,4.482365591397852,-5.589049454483979,3710.5791666666655,-1.87579264469796,-1.8757926446979571,10.235482635113014
midwest,2002,107.15,7.150000000000007,2.5531910514301925,-3.178557513585674,3654.8333333333335,-1.5023485776591403,-3.34996027823964,8.579361429668708
midwest,2003,109.30817204301076,9.308172043010757,2.0141596295014,-1.2284191063233998,3622.241666666667,-0.8917415294815045,-4.211828820698953,7.611114171354524
midwest,2004,113.2263440860215,13.226344086021498,3.5845188605560185,2.312066839679783,3632.933333333334,0.2951671271703482,-3.929093627660001,7.928746805570107
midwest,2005,117.86763440860216,17.867634408602157,4.099125835110007,6.505967203940116,3648.7916666666665,0.4365159467097035,-3.509728801196181,8.399872996460369
midwest,2006,119.74215053763442,19.742150537634416,1.5903569613809454,8.199792267654095,3645.558333333333,-0.0886138105080536,-3.5952325072749947,8.303815738412315
midwest,2007,119.6836559139785,19.683655913978495,-0.0488504869782913,8.146936142221842,3636.395833333334,-0.2513332434217585,-3.837529736227669,8.031612245567436
midwest,2008,117.73129032258063,17.731290322580648,-1.6312716857522225,6.382765793925237,3582.7041666666664,-1.4765077600875642,-5.257376071964163,6.436517107413925
midwest,2009,114.02279569892474,14.02279569892474,-3.1499651566671227,3.031745738717796,3374.7208333333333,-5.805205332564201,-10.757379928445744,0.2576587404987242
midwest,2010,110.66763440860215,10.667634408602154,-2.9425355427890376,0.0,3366.0479166666664,-0.2569965663826612,-10.98673039777956,0.0
midwest,2011,108.38989247311828,8.38989247311828,-2.0581825460134984,-2.0581825460134944,3423.708333333333,1.7130004710024238,-9.461932670238872,1.7130004710024176
midwest,2012,107.80892473118278,7.808924731182784,-0.5359980794146235,-2.5831488065106445,3488.722916666667,1.898952159573564,-7.742658085444202,3.644481690013592
midwest,2013,108.82397849462365,8.823978494623645,0.9415303658503849,-1.6659395710686684,3537.4541666666664,1.3968220223852024,-6.453987216314474,5.092210635246701
midwest,2014,111.49860215053764,11.49860215053765,2.4577521359836485,0.7508678995228479,3591.7187500000005,1.534001029459775,-5.018990417194173,6.704326228273411
midwest,2015,114.9689247311828,14.968924731182796,3.112435953196746,3.886674135185367,3647.99375,1.5667986253099508,-3.530829264745262,8.37616814476424
midwest,2016,118.6005376344086,18.60053763440861,3.1587778277627265,7.168223363767713,3697.775,1.364619936643252,-2.214391728177565,9.8550909418377
midwest,2017,123.89075268817204,23.890752688172043,4.460532101524484,11.948496369542044,3732.8666666666654,0.948994102309264,-1.2864120727707218,10.897609275962228
midwest,2018,130.4840860215054,30.48408602150539,5.321893030974234,17.90627559611314,3764.714583333333,0.8531758434090042,-0.4442115864133024,11.84376088922283
midwest,2019,136.26817204301076,36.268172043010765,4.432790386830843,23.13281364620792,3785.795833333333,0.5599694089248652,0.1132703735167568,12.47005173599356
midwest,2020,141.56623655913978,41.56623655913978,3.887969168953687,27.920179477637674,3533.2833333333333,-6.669997831807706,-6.564282589748598,4.968301723769784
northern plains,2000,100.0,0.0,-29.36168790626523,-26.69958934723428,1356.8083333333334,0.0,0.0,0.9506015792035248
northern plains,2001,105.15988372093024,5.159883720930239,5.159883720930236,-22.917373390587205,1352.3513888888888,-0.328487402011679,-0.3284874020116781,0.6189915707608391
northern plains,2002,109.336511627907,9.336511627906988,3.971693158258472,-19.855887983335236,1340.1055555555554,-0.9055215555621832,-1.2310344333413348,-0.2921350869016919
northern plains,2003,112.64337209302326,12.643372093023258,3.024479577664008,-17.431945682691047,1337.7972222222222,-0.1722501129678755,-1.4011640881071026,-0.4638819968523565
northern plains,2004,119.84186046511628,19.84186046511627,6.3905121431808265,-12.15542414515528,1352.5500000000002,1.1027663634457283,-0.3138492909217006,0.6337688319660034
northern plains,2005,129.10883720930232,29.10883720930232,7.732670961732513,-5.362692136570605,1372.6888888888889,1.4889570728541468,1.170434700717159,2.132162450669248
northern plains,2006,135.92546511627907,35.92546511627907,5.279753155801492,-0.3660758880856191,1391.775,1.3904178336112238,2.577126467137938,3.552226251236148
northern plains,2007,139.7353488372093,39.7353488372093,2.8029212316257546,2.4265845247491105,1403.3513888888892,0.8317715786595903,3.4303338512972847,4.413544238263195
northern plains,2008,140.85779069767443,40.85779069767443,0.8032626459985925,3.2493390178085946,1403.334722222222,-0.0011876331757698,3.429105478338655,4.412304188371821
northern plains,2009,138.94546511627905,38.94546511627905,-1.3576285499889984,1.847596513627892,1351.2333333333331,-3.7126843698689904,-0.4108907546509304,0.5358048905500813
northern plains,2010,136.42488372093024,36.42488372093024,-1.814079641418609,0.0,1344.031944444445,-0.5329493220185499,-0.9416502371783338,0.0
northern plains,2011,135.55209302325582,35.55209302325582,-0.6397591655344925,-0.6397591655344873,1360.9347222222225,1.2576172648012696,0.3041246716661431,1.2576172648012738
northern plains,2012,138.1256976744186,38.1256976744186,1.898609304926957,1.2467036123465105,1380.6666666666667,1.4498817703926914,1.7584158902325937,2.725732998657635
northern plains,2013,142.57023255813954,42.57023255813954,3.217746558788304,4.504565933719379,1399.2861111111113,1.348583615000809,3.130713213812651,4.111075402267013
northern plains,2014,147.8981395348837,47.89813953488371,3.737040251071688,8.409943626870213,1419.0777777777776,1.4144117139096355,4.58940610214738,5.58363464823398
northern plains,2015,152.30523255813952,52.30523255813952,2.979816404124769,11.64036091076611,1438.784722222222,1.38871489308392,6.041854761275927,7.0498903072533246
northern plains,2016,156.54151162790697,56.54151162790697,2.781440268738189,14.745570865302817,1455.2347222222222,1.143326012983592,7.254258871411865,8.273819550006543
northern plains,2017,162.40813953488373,62.40813953488373,3.747649965794064,19.045833212586533,1467.4208333333331,0.8373983196677814,8.152404232973213,9.180502695558436
northern plains,2018,168.8168604651163,68.81686046511629,3.946058952824849,23.74345197203675,1480.4388888888889,0.8871385263070186,9.11186587805122,10.149084998186408
northern plains,2019,175.331511627907,75.33151162790699,3.859005045373931,28.518718026957508,1487.375,0.4685172189928588,9.623073757654293,10.665152427966
northern plains,2020,179.61941860465117,79.61941860465117,2.445599731007908,31.661771449319588,1406.4930555555557,-5.437898609593706,3.661882153992931,4.647293642780885
plains,2000,100.0,0.0,-44.32673216691365,-19.504672940934217,2764.1958333333337,0.0,0.0,4.754069756884392
plains,2001,104.5903488372093,4.590348837209305,4.5903488372093015,-15.809656631270569,2749.366666666667,-0.5364730851498467,-0.5364730851498477,4.192092367039611
plains,2002,108.01906976744183,8.019069767441849,3.2782383540657323,-13.049696504537236,2708.96875,-1.469353548089869,-1.997943946928519,2.6611421610154427
plains,2003,110.53313953488372,10.53313953488373,2.327431418225045,-11.0259878227418,2681.23125,-1.023913620266026,-3.0014003469966584,1.6099807437081428
plains,2004,115.8156976744186,15.815697674418605,4.779162305317231,-6.773775371237904,2691.6416666666664,0.388270003442126,-2.624783880785119,2.0045018194392914
plains,2005,122.48104651162792,22.481046511627923,5.755134209826185,-1.4084810250986228,2718.9812500000003,1.015721508249312,-1.635722866957993,3.0405834838019072
plains,2006,127.62244186046512,27.62244186046513,4.1977069067164585,2.730101976347483,2754.4479166666665,1.3044101229703786,-0.3526492786479666,4.384655285532352
plains,2007,130.71348837209302,30.713488372093025,2.4220242667096548,5.218249975430201,2782.0166666666664,1.000881150563293,0.6447022717577386,5.4294216243657125
plains,2008,130.02941860465117,30.02941860465117,-0.5233352548090209,4.667605778815688,2777.714583333333,-0.1546390208541859,0.4890662896230858,5.266386599073566
plains,2009,126.89883720930231,26.89883720930231,-2.407594703524174,2.1476340457793626,2662.3770833333333,-4.152244463561539,-3.683485401872468,0.8954688895222538
plains,2010,124.23081395348838,24.23081395348838,-2.1024804596226465,0.0,2638.7479166666667,-0.8875214113953644,-4.538315091640587,0.0
